id,budget,genres,year,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count,production_companies_number,production_countries_number,spoken_languages_number
184,12000000,Action|Crime|Drama|Thriller,1997,en,Jackie Brown,"Jackie Brown is a flight attendant who gets caught in the middle of smuggling cash into the country for her gunrunner boss. When the cops try to use Jackie to get to her boss, she hatches a plan—with help from a bail bondsman—to keep the money for herself. Based on Elmore Leonard's novel “Rum Punch”.",3.844868,Miramax Films,United States of America,24-12-1997,39673162,154,English,Released,Six players on the trail of a half a million in Cash. There's only one question... Who's playing who?,Jackie Brown,7.3,1348,1,1,1
185,2200000,Science Fiction|Drama,1971,en,A Clockwork Orange,"Demonic gang-leader Alex goes on the spree of rape, mugging and murder with his pack of ""droogs"". But he's a boy who also likes Beethoven's Ninth and a bit of ""the old in-out, in-out"". He later finds himself at the mercy of the state and its brainwashing experiment designed to take violence off the streets.",7.6936,Hawk Films,United Kingdom,18-12-1971,26589000,136,English,Released,"Being the adventures of a young man whose principal interests are rape, ultra-violence and Beethoven.",A Clockwork Orange,7.9,2980,2,2,1
186,27000000,Drama|Thriller|Crime|Mystery,2006,en,Lucky Number Slevin,"Slevin is mistakenly put in the middle of a personal war between the city’s biggest criminal bosses. Under constant watch, Slevin must try not to get killed by an infamous assassin and come up with an idea of how to get out of his current dilemma. A film with many twists and turns.",2.870428,The Weinstein Company,Germany,24-02-2006,56308881,110,English,Released,Wrong Time. Wrong Place. Wrong Number.,Lucky Number Slevin,7.4,1227,6,2,1
187,40000000,Action|Thriller|Crime,2005,en,Sin City,"Welcome to Sin City. This town beckons to the tough, the corrupt, the brokenhearted. Some call it dark… Hard-boiled. Then there are those who call it home — Crooked cops, sexy dames, desperate vigilantes. Some are seeking revenge, others lust after redemption, and then there are those hoping for a little of both. A universe of unlikely and reluctant heroes still trying to do the right thing in a city that refuses to care.",6.558485,Dimension Films,United States of America,31-03-2005,158733820,124,English,Released,Walk down the right back alley in Sin City and you can find anything...,Sin City,7.2,2520,3,1,1
189,65000000,Crime|Thriller,2014,en,Sin City: A Dame to Kill For,Some of Sin City's most hard-boiled citizens cross paths with a few of its more reviled inhabitants.,6.610553,Miramax Films,United States of America,20-08-2014,39407616,102,English,Released,There is no justice without sin.,Sin City: A Dame to Kill For,6.3,1197,7,1,1
190,0,Documentary,2001,de,Das Dorf der Freundschaft,A German Documentary about the “village of friendship” that was created by American Veteran George Mizo to help the Vietnamese kids suffering from the Vietnam War.,0.000579,none,Germany,25-08-2001,0,52,Deutsch,Released,,Das Dorf der Freundschaft,0,0,0,1,1
191,3000000,Drama,2000,de,Die innere Sicherheit,"With 1970s Germany in the background, this film depicts the story of a family from the “R.A.F. Terrorist” group and their search for a normal life and their inner self.",0.116057,Schramm Film Koerner & Weber,Germany,01-09-2000,0,106,Deutsch,Released,,The State I Am In,7,4,1,1,2
192,20000000,Drama|Thriller|Mystery,1986,en,The Name of the Rose,"14th-century Franciscan monk William of Baskerville and his young novice arrive at a conference to find that several monks have been murdered under mysterious circumstances. To solve the crimes, William must rise up against the Church's authority and fight the shadowy conspiracy of monastery monks using only his intelligence – which is considerable.",3.251648,Zweites Deutsches Fernsehen (ZDF),France,24-09-1986,77200000,130,English,Released,"Who, in the name of God, is getting away with murder?",The Name of the Rose,7.2,653,4,3,2
193,38000000,Science Fiction|Action|Adventure|Thriller,1994,en,Star Trek: Generations,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,1.224575,Paramount Pictures,United States of America,17-11-1994,120000000,118,English,Released,Boldly go.,Star Trek: Generations,6.3,433,1,1,1
194,10000000,Comedy|Romance,2001,fr,Le fabuleux destin d'Amélie Poulain,"At a tiny Parisian café, the adorable yet painfully shy Amélie (Audrey Tautou) accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?",4.838537,France 3 Cinéma,France,25-04-2001,173921954,122,Français,Released,One person can change your life forever.,Amélie,7.8,3016,9,2,2
195,0,Comedy|Romance,1932,en,Trouble in Paradise,"Trouble in Paradise is one of the most important films of Actor, Producer, and Director Ernst Lubitisch, and his personal favorite of all the films he’s made. A story of two thieves who fall in love and begin doing jobs together under the employment of a beautiful woman who stirs up the relationship.",0.126374,Paramount Pictures,United States of America,21-10-1932,0,83,English,Released,,Trouble in Paradise,7.3,44,1,1,2
196,40000000,Adventure|Comedy|Family|Science Fiction,1990,en,Back to the Future Part III,"The final installment of the Back to the Future trilogy finds Marty digging the trusty DeLorean out of a mineshaft and looking up Doc in the Wild West of 1885. But when their time machine breaks down, the travelers are stranded in a land of spurs. More problems arise when Doc falls for pretty schoolteacher Clara Clayton, and Marty tangles with Buford Tannen.",3.71849,Universal Pictures,United States of America,25-05-1990,244527583,118,English,Released,They've saved the best trip for last... But this time they may have gone too far.,Back to the Future Part III,7.1,2665,3,1,1
197,72000000,Action|Drama|History|War,1995,en,Braveheart,"Enraged at the slaughter of Murron, his new bride and childhood love, Scottish warrior William Wallace slays a platoon of the local English lord's soldiers. This leads the village to revolt and, eventually, the entire country to rise up against English rule.",6.345297,Icon Entertainment International,United States of America,24-05-1995,210000000,177,English,Released,Every man dies. Not every man truly lives.,Braveheart,7.7,3147,3,1,4
198,0,Comedy|War,1942,en,To Be or Not to Be,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",1.809168,United Artists,United States of America,05-03-1942,0,99,English,Released,,To Be or Not to Be,7.7,108,1,1,1
199,46000000,Science Fiction|Action|Adventure|Thriller,1996,en,Star Trek: First Contact,"The Borg, a relentless race of cyborgs, are on a direct course for Earth. Violating orders to stay away from the battle, Captain Picard and the crew of the newly-commissioned USS Enterprise E pursue the Borg back in time to prevent the invaders from changing Federation history and assimilating the galaxy.",1.631826,Paramount Pictures,United States of America,21-11-1996,150000000,111,English,Released,Resistance is futile.,Star Trek: First Contact,7,641,2,1,1
200,70000000,Science Fiction|Action|Adventure|Thriller,1998,en,Star Trek: Insurrection,"When an alien race and factions within Starfleet attempt to take over a planet that has ""regenerative"" properties, it falls upon Captain Picard and the crew of the Enterprise to defend the planet's people as well as the very ideals upon which the Federation itself was founded.",1.752529,Paramount Pictures,United States of America,10-12-1998,118000000,103,English,Released,The battle for paradise has begun.,Star Trek: Insurrection,6.3,375,1,1,1
201,60000000,Science Fiction|Action|Adventure|Thriller,2002,en,Star Trek: Nemesis,"En route to the honeymoon of William Riker to Deanna Troi on her home planet of Betazed, Captain Jean-Luc Picard and the crew of the U.S.S. Enterprise receives word from Starfleet that a coup has resulted in the installation of a new Romulan political leader, Shinzon, who claims to seek peace with the human-backed United Federation of Planets. Once in enemy territory, the captain and his crew make a startling discovery: Shinzon is human, a slave from the Romulan sister planet of Remus, and has a secret, shocking relationship to Picard himself.",1.579582,Paramount Pictures,United States of America,13-12-2002,67312826,117,English,Released,A generation's final journey... begins.,Star Trek: Nemesis,6.1,461,1,1,1
203,500000,Drama|Crime,1973,en,Mean Streets,"A small-time hood must choose from among love, friendship and the chance to rise within the mob.",2.951847,Scorsese Productions,United States of America,02-10-1973,3000000,110,English,Released,You don't make up for your sins in church. You do it in the streets...,Mean Streets,7.2,321,1,1,2
204,0,Drama|Thriller|Adventure,1953,fr,Le salaire de la peur,"In the South American jungle, supplies of nitroglycerine are needed at a remote oil field. The oil company pays four men to deliver the supplies in two trucks. A tense rivalry develops between the two sets of drivers on the rough remote roads where the slightest jolt can result in death.",1.032483,Véra Films,France,22-04-1953,0,147,Français,Released,Dynamic Tremendous Shattering,The Wages of Fear,7.9,158,4,2,5
205,17500000,Drama|History|War,2004,en,Hotel Rwanda,"Inspired by true events, this film takes place in Rwanda in the 1990s when more than a million Tutsis were killed in a genocide that went mostly unnoticed by the rest of the world. Hotel owner Paul Rusesabagina houses over a thousand refuges in his hotel in attempt to save their lives.",1.867482,Lions Gate Films,Canada,11-09-2004,38000000,121,English,Released,"When the world closed its eyes, he opened his arms.",Hotel Rwanda,7.5,755,8,5,2
206,0,Drama,2003,en,Paradise Found,"Paradise Found is a biography about the painter Paul Gauguin. Focusing on his personal conflict between citizen life and his family life and the art scene in Frane. In an incredible imagery montage Gauguin manages to make a successful living in the South Pacific, while being in opposition to France.",0.35058,none,Australia,01-01-2003,0,89,English,Released,,Paradise Found,6.6,5,0,4,1
207,16400000,Drama,1989,en,Dead Poets Society,"At an elite, old-fashioned boarding school in New England, a passionate English teacher inspires his students to rebel against convention and seize the potential of every day, courting the disdain of the stern headmaster.",5.648708,Touchstone Pictures,United States of America,02-06-1989,235860116,129,English,Released,He was their inspiration. He made their lives extraordinary.,Dead Poets Society,8.1,2411,2,1,1
211,0,Comedy|Drama,2001,de,Berlin is in Germany,Berlin is in Germany is a tragic comedy in which an ex-prisoner from east Berlin must find his place in the newly united city. From Director Hannes Stöhr.,0.022025,Luna Filmproduktion,Germany,01-11-2001,0,90,Deutsch,Released,,Berlin is in Germany,6.3,3,1,1,1
212,1120175,Comedy|Crime,1944,en,Arsenic and Old Lace,"Mortimer Brewster is a newspaperman and author known for his diatribes against marriage. We watch him being married at city hall in the opening scene. Now all that is required is a quick trip home to tell Mortimer's two maiden aunts. While trying to break the news, he finds out his aunts' hobby; killing lonely old men and burying them in the cellar. It gets worse.",1.851095,Warner Bros.,United States of America,23-09-1944,0,118,English,Released,She Passed Out On Cary! No Wonder . . . She's just discovered his favorite aunts have poisoned their 13th gentleman friend!,Arsenic and Old Lace,7.4,214,1,1,2
213,4000000,Mystery|Thriller,1959,en,North by Northwest,"Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.",3.100256,Metro-Goldwyn-Mayer (MGM),United States of America,08-07-1959,13275000,136,English,Released,It's a deadly game of 'tag' and Cary Grant is 'it'...,North by Northwest,7.8,964,1,1,1
214,10000000,Horror|Thriller|Crime,2006,en,Saw III,"Jigsaw has disappeared. Along with his new apprentice Amanda, the puppet-master behind the cruel, intricate games that have terrified a community and baffled police has once again eluded capture and vanished. While city detective scramble to locate him, Doctor Lynn Denlon and Jeff Reinhart are unaware that they are about to become the latest pawns on his vicious chessboard.",3.445938,Lions Gate Films,United States of America,27-10-2006,163876815,108,English,Released,Suffering? You Haven't Seen Anything Yet...,Saw III,6.1,944,3,1,1
215,4000000,Horror,2005,en,Saw II,"When a new murder victim is discovered with all the signs of Jigsaw's hand, Detective Eric Matthews begins a full investigation and apprehends Jigsaw with little effort. But for Jigsaw, getting caught is just another part of his plan. Eight more of his victims are already fighting for their lives and now it's time for Matthews to join the game...",3.231028,Lions Gate Films,United States of America,28-10-2005,152925093,92,English,Released,Oh Yes... There Will Be Blood.,Saw II,6.3,1114,5,1,1
216,130000,Drama,1974,de,Angst essen Seele auf,"A simple, delicate, melodramatic German film about a loneliness. With a double moral story about the tainted love between an old woman and a younger Moroccan immigrant worker.",0.452335,none,Germany,05-03-1974,0,93,العربية,Released,,Ali: Fear Eats the Soul,7.4,69,0,1,2
217,185000000,Adventure|Action,2008,en,Indiana Jones and the Kingdom of the Crystal Skull,"Set during the Cold War, the Soviets – led by sword-wielding Irina Spalko – are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. After being captured and then escaping from them, Indy is coerced to head to Peru at the behest of a young man whose friend – and Indy's colleague – Professor Oxley has been captured for his knowledge of the skull's whereabouts.",4.229369,Lucasfilm,United States of America,21-05-2008,786636033,122,English,Released,The adventure continues . . .,Indiana Jones and the Kingdom of the Crystal Skull,5.7,2318,2,1,3
218,6400000,Action|Thriller|Science Fiction,1984,en,The Terminator,"In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",7.648514,Orion Pictures,United Kingdom,26-10-1984,78371200,108,English,Released,Your future is in his hands.,The Terminator,7.3,3865,5,2,1
219,12899867,Comedy|Drama|Romance,2006,es,Volver,"Raimunda (Penélope Cruz) works and lives Madrid with her husband Paco and daughter Paula. Her sister Sole (Lola Dueñas) lives nearby and they both miss their mother Irene (Carmen Maura), who died several years ago in a house fire along with their father. A former neighbor from their hometown reports that she has seen the ghost of Irene and both daughters do not believe her. After a murder and a family tragedy, Irene's spirit materializes around her daughters to help comfort them.",2.612328,El Deseo,Spain,16-03-2006,85582407,121,Español,Released,Return.,Volver,7.3,373,1,1,1
220,0,Drama,1955,en,East of Eden,"In the Salinas Valley, in and around World War I, Cal Trask feels he must compete against overwhelming odds with his brother Aron for the love of their father Adam. Cal is frustrated at every turn, from his reaction to the war, to how to get ahead in business and in life, to how to relate to estranged mother.",2.016721,Warner Bros.,United States of America,09-03-1955,0,115,English,Released,Of what a girl did . . . what a boy did ... of ecstasy and revenge!,East of Eden,7.5,149,1,1,1
221,1500000,Drama,1955,en,Rebel Without a Cause,"After moving to a new town, troublemaking teen Jim Stark is supposed to have a clean slate, although being the new kid in town brings its own problems. While searching for some stability, Stark forms a bond with a disturbed classmate, Plato, and falls for local girl Judy. However, Judy is the girlfriend of neighborhood tough, Buzz. When Buzz violently confronts Jim and challenges him to a drag race, the new kid's real troubles begin.",2.619712,Warner Bros.,United States of America,27-10-1955,0,111,English,Released,The bad boy from a good family.,Rebel Without a Cause,7.6,308,1,1,1
222,0,Documentary|History,1927,en,Berlin: Die Sinfonie der Grosstadt,Berlin is Walter Ruttmanns black and white documentary of Berlin in 1927. The big city symphony shows a day in the life of metropolitan Berlin. Showing the industrial uprising as well as the lives and working circumstances of the time.,0.147085,Deutsche Vereinsfilm AG,Germany,23-09-1927,0,69,Deutsch,Released,,Berlin: Symphony of a Great City,8.3,9,2,1,1
223,1288000,Drama|Mystery,1940,en,Rebecca,A self-conscious bride is tormented by the memory of her husband's dead first wife.,1.994851,Selznick International Pictures,United States of America,12-04-1940,6000000,130,English,Released,The shadow of this woman darkened their love.,Rebecca,7.6,310,1,1,2
224,0,Drama|History,1977,pl,Człowiek z marmuru,Man of Marble is a Polish film about a student making a film about a bricklayer who was once idolized. She interviews people who knew him and finds old footage that lead to an unfolding mystery that causes her producer to cancel the project.,0.143538,Film Polski Film Agency,Poland,25-02-1977,0,165,Polski,Released,,Man of Marble,5.7,15,2,1,1
225,0,Drama|History,1981,pl,Czlowiek z zelaza,"In Warsaw in 1980, the Communist Party sends Winkel, a weak, alcoholic TV hack, to Gdansk to dig up dirt on the shipyard strikers, particularly on Maciek Tomczyk, an articulate worker whose father was killed in the December 1970 protests. Posing as sympathetic, Winkel interviews the people surrounding Tomczyk, including his detained wife, Agnieszka.",0.120156,"Zespól Filmowy ""X""",Poland,27-07-1981,0,147,Polski,Released,,Man of Iron,6,14,2,1,1
226,2000000,Crime|Drama,1999,en,Boys Don't Cry,"Female born, Teena Brandon adopts his male identity of Brandon Teena and attempts to find himself and love in Nebraska.",2.349435,Fox Searchlight Pictures,United States of America,02-09-1999,11540607,118,English,Released,A true story about finding the courage to be yourself.,Boys Don't Cry,7.2,321,5,1,1
227,10000000,Crime|Drama,1983,en,The Outsiders,"When two poor greasers, Johnny, and Ponyboy are assaulted by a vicious gang, the socs, and Johnny kills one of the attackers, tension begins to mount between the two rival gangs, setting off a turbulent chain of events.",2.188329,American Zoetrope,United States of America,25-03-1983,33697647,91,English,Released,They grew up on the outside of society. They weren't looking for a fight. They were looking to belong.,The Outsiders,6.9,267,2,1,1
228,0,Drama,1930,de,Der blaue Engel,"The Blue Angel follows Immanuel Rath (Emil Jannings) through a transformation from esteemed educator at the local Gymnasium (college preparatory high school) to a cabaret clown in Weimar Germany. Rath's descent begins when he punishes several of his students for circulating photographs of the beautiful Lola Lola (Marlene Dietrich) the headliner for the local cabaret, The Blue Angel. Hoping to catch the boys at the club, Professor Rath goes there later that evening and meets Lola herself. Consumed with desire and determined to remain at Lola's side, Rath returns to the night club the following evening (to return a pair of panties that were smuggled into his coat by one of his students) and stays the night with her. The next morning, reeling from his night of passion, Rath arrives late to school to find his classroom in chaos and the principal furious with his behavior.",0.317506,Universum Film (UFA),Germany,31-03-1930,0,108,English,Released,,The Blue Angel,7.5,49,1,1,3
229,393750,Horror|Science Fiction,1935,en,Bride of Frankenstein,"Bride of Frankenstein begins where James Whale's Frankenstein from 1931 ended. Dr. Frankenstein has not been killed as previously portrayed and now he wants to get away from the mad experiments. Yet when his wife is kidnapped by his creation, Frankenstein agrees to help him create a new monster, this time a woman.",1.271666,Universal Pictures,United States of America,21-04-1935,0,75,English,Released,The monster demands a mate.,Bride of Frankenstein,7.5,191,1,1,1
231,50000000,Drama|Thriller,2005,en,Syriana,"The Middle Eastern oil industry is the backdrop of this tense drama, which weaves together numerous story lines. Bennett Holiday is an American lawyer in charge of facilitating a dubious merger of oil companies, while Bryan Woodman, a Switzerland-based energy analyst, experiences both personal tragedy and opportunity during a visit with Arabian royalty. Meanwhile, veteran CIA agent Bob Barnes uncovers an assassination plot with unsettling origins.",2.123053,Section Eight,United States of America,23-11-2005,94000000,128,العربية,Released,Everything is connected.,Syriana,6.3,425,6,1,6
232,10000000,Action|Adventure|Crime|Drama|Romance,1983,en,Rumble Fish,"Rusty James, an absent-minded street thug struggles to live up to his legendary older brother's reputation, and longs for the days when gang warfare was going on.",1.054645,Universal Pictures,United States of America,20-10-1983,2494480,94,English,Released,Rusty James can't live up to his brother's reputation. His brother can't live it down.,Rumble Fish,6.8,130,1,1,1
233,0,Drama,1979,en,The Wanderers,The streets of the Bronx are owned by 60’s youth gangs where the joy and pain of adolescence is lived. Philip Kaufman tells his take on the novel by Richard Price about the history of the Italian-American gang ‘The Wanderers.’,1.045574,Orion Pictures Corporation,United States of America,13-07-1979,23000000,117,English,Released,It was the Wanderer's Against The World...,The Wanderers,7.2,52,2,1,1
234,18000,Drama|Horror|Thriller|Crime,1920,de,Das Cabinet des Dr. Caligari,"The Cabinet of Dr. Caligari is eerie and expressionistic, silent and surreal. It has become not only a classic of German Expressionist cinema, but a landmark in film history, with creative scenery and an unusual ending.",1.572642,Decla Film Gesellschaft Holz & Co.,Germany,25-02-1920,0,78,No Language,Released,You must become Caligari.,The Cabinet of Dr. Caligari,7.7,247,1,1,1
235,8000000,Crime|Drama,1986,en,Stand by Me,"After the death of a friend, a writer recounts a boyhood journey to find the body of a missing boy.",5.338218,Columbia Pictures,United States of America,22-08-1986,52287000,89,English,Released,"For some, it's the last real taste of innocence, and the first real taste of life. But for everyone, it's the time that memories are made of.",Stand by Me,7.7,1382,4,1,1
236,3000000,Drama|Comedy|Romance,1994,en,Muriel's Wedding,"Muriel’s Wedding is P.J. Hogan’s film debut. A humorous emancipation story of an unemployed woman who evolves from a dreamer into a self sustaining successful woman. An amusing comedy that’s funny, silly, angry and serious.",1.830261,Ciby 2000,Australia,29-09-1994,15119639,106,English,Released,Success is the best revenge.,Muriel's Wedding,6.9,94,3,2,1
237,6400000,Drama|Thriller|Crime|Romance,2003,en,Young Adam,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.,1.189534,Recorded Picture Company (RPC),France,26-09-2003,2500000,93,English,Released,Everyone has a past. Everyone has a secret.,Young Adam,6,41,1,2,1
238,6000000,Drama|Crime,1972,en,The Godfather,"Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.",8.696299,Paramount Pictures,United States of America,14-03-1972,245066411,175,English,Released,An offer you can't refuse.,The Godfather,8.4,5478,2,1,3
239,2883848,Comedy|Romance,1959,en,Some Like It Hot,"Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.",3.883068,The Mirisch Corporation,United States of America,18-03-1959,25000000,122,English,Released,The movie too HOT for words!,Some Like It Hot,7.9,721,2,1,1
240,13000000,Drama|Crime,1974,en,The Godfather: Part II,"In the continuing saga of the Corleone crime family, a young Vito Corleone grows up in Sicily and in 1910s New York. In the 1950s, Michael Corleone attempts to expand the family business into Las Vegas, Hollywood and Cuba.",6.988872,Paramount Pictures,United States of America,20-12-1974,47542841,200,English,Released,"I don't feel I have to wipe everybody out, Tom. Just my enemies.",The Godfather: Part II,8.2,3079,2,1,4
241,34000000,Crime|Thriller|Drama,1994,en,Natural Born Killers,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,3.201718,Regency Enterprises,United States of America,25-08-1994,50282766,119,English,Released,The Media Made Them Superstars.,Natural Born Killers,6.9,849,6,1,3
242,54000000,Crime|Drama|Thriller,1990,en,The Godfather: Part III,"In the midst of trying to legitimize his business dealings in 1979 New York and Italy, aging mafia don, Michael Corleone seeks forgiveness for his sins while taking a young protege under his wing.",4.410688,Paramount Pictures,Italy,24-12-1990,136766062,162,English,Released,All the power on earth can't change destiny.,The Godfather: Part III,7.1,1405,1,2,4
243,30000000,Comedy|Drama|Romance|Music,2000,en,High Fidelity,"When record store owner Rob Gordon gets dumped by his girlfriend, Laura, because he hasn't changed since they met, he revisits his top five breakups of all time in an attempt to figure out what went wrong. As Rob seeks out his former lovers to find out why they left, he keeps up his efforts to win Laura back.",1.986136,Buena Vista,United Kingdom,17-03-2000,47126295,113,Dansk,Released,"A comedy about fear of commitment, hating your job, falling in love and other pop favorites.",High Fidelity,7,589,2,2,2
244,672000,Action|Adventure|Drama|Horror,1933,en,King Kong,An adventure film about a film crew in search of a monster on a remote island. The crew finds King Kong and decides to take him back to New York as a money making spectacle. The film is a masterpiece of Stop-Motion in filmmaking history and inspired a line of King Kong films.,1.52543,RKO Radio Pictures,United States of America,07-04-1933,10000000,100,English,Released,A Monster of Creation's Dawn Breaks Loose in Our World Today!,King Kong,7.7,314,1,1,1
245,27000000,Drama|Comedy|Romance,2002,en,About a Boy,"Will Freeman is a hip Londoner who one day realizes that his friends are all involved with the responsibilities of married life and that leaves him alone in the cold. Passing himself off as a single father, he starts to meet a string of single mums, confident in his ability to leave them behind when they start to ask for a commitment. But Will's hope of a continued bachelorhood is interrupted when he meets 12-year old Marcus, in many ways his complete opposite.",3.256029,Universal Pictures,United Kingdom,26-04-2002,129000000,101,English,Released,One ordinary couple. One little white lie.,About a Boy,6.6,567,1,2,1
246,0,Adventure|Drama|Action,2003,ja,座頭市,"Zatôichi is a 19th century blind nomad who makes his living as a gambler and masseur. However, behind this humble facade, he is a master swordsman gifted with a lightning-fast draw and breathtaking precision. While wandering, Zatôichi discovers a remote mountain village at the mercy of Ginzo, a ruthless gang-leader. Ginzo disposes of anyone who gets in his way, especially after hiring the mighty samurai ronin, Hattori, as a bodyguard. After a raucous night of gambling in town, Zatôichi encounters a pair of geishas--as dangerous as they are beautiful--who've come to avenge their parents' murder. As the paths of these and other colorful characters intertwine, Ginzo's henchmen are soon after Zatôichi. With his legendary cane sword at his side, the stage is set for a riveting showdown.",2.260538,Office Kitano,Japan,06-09-2003,0,111,日本語,Released,His sword made him a hero... his courage made him a legend.,Zatoichi,7.3,219,4,1,1
247,320000,Drama|Action|Thriller|Crime,1956,en,The Killing,The Killing was Stanley Kubrick’s first film with a professional cast and the first time he achieved public recognition as the unconventional director he’s now known for. The story is of ex-prisoners who plan to set up a racetrack so they can live a life without monetary worries. One of the more exceptional films of the 1950’s.,2.701608,United Artists,United States of America,08-05-1956,0,85,English,Released,"...Like No Other Picture Since ""Scarface"" and ""Little Caesar""!",The Killing,7.6,264,2,1,1
248,2900000,Comedy|Drama,1961,en,Pocketful of Miracles,"Damon Runyon's fairytale, sweet and funny, is told by director Frank Capra. Boozy, brassy Apple Annie, a beggar with a basket of apples, is as much as part of downtown New York as old Broadway itself. Bootlegger Dave the Dude is a sucker for her apples --- he thinks they bring him luck. But Dave and girlfriend Queenie Martin need a lot more than luck when it turns out that Annie is in a jam and only they can help: Annie's daughter Louise, who has lived all her life in a Spanish convent, is coming to America with a Count and his son. The count's son wants to marry Louise, who thinks her mother is part of New York society. It's up to Dave and Queenie and their Runyonesque cronies to turn Annie into a lady and convince the Count and his son that they are hobnobbing with New York's elite.",0.238717,Franton Production,United States of America,18-12-1961,5000000,136,English,Released,You have to see it to believe it!,Pocketful of Miracles,7.1,22,1,1,2
249,0,Comedy|Drama|Thriller,1989,en,The War of the Roses,"The Roses, Barbara and Oliver, live happily as a married couple. Then she starts to wonder what life would be like without Oliver, and likes what she sees. Both want to stay in the house, and so they begin a campaign to force each other to leave. In the middle of the fighting is D'Amato, the divorce lawyer. He gets to see how far both will go to get rid of the other, and boy do they go far.",1.733843,Gracie Films,United States of America,08-12-1989,0,116,English,Released,Once in a lifetime comes a motion picture that makes you feel like falling in love all over again. This is not that movie.,The War of the Roses,6.6,259,2,1,1
250,0,Action|Comedy|Crime,1999,da,I Kina spiser de hunde,An intent fast paced Danish dark comedy film about two separately motivated brothers who with their slightly psychopathic tendencies end up in a touchy situation. One brother gets in serious trouble after a bank robbery and begs the other brother for help.,0.901094,Steen Herdel Filmproduktion,Denmark,10-09-1999,0,91,Dansk,Released,,In China They Eat Dogs,7.4,78,1,1,4
251,22000000,Fantasy|Drama|Thriller|Mystery|Romance,1990,en,Ghost,"Sam Wheat is a banker, Molly Jensen is an artist, and the two are madly in love. However, when Sam is murdered by his friend and corrupt business partner Carl Bruner over a shady business deal, he is left to roam the earth as a powerless spirit. When he learns of Carl's betrayal, Sam must seek the help of psychic Oda Mae Brown to set things right and protect Molly from Carl and his goons.",3.245491,Paramount Pictures,United States of America,12-07-1990,505000000,127,English,Released,A love that will last forever.,Ghost,6.8,1213,1,1,1
252,3000000,Family|Fantasy,1971,en,Willy Wonka & the Chocolate Factory,Eccentric candy man Willy Wonka prompts a worldwide frenzy when he announces that golden tickets hidden inside five of his delicious candy bars will admit their lucky holders into his top-secret confectionary. But does Wonka have an agenda hidden amid a world of Oompa Loompas and chocolate rivers?,2.934258,Paramount Pictures,United States of America,29-06-1971,4000000,100,English,Released,It's Scrumdiddlyumptious!,Willy Wonka & the Chocolate Factory,7.4,735,2,1,3
253,7000000,Adventure|Action|Thriller,1973,en,Live and Let Die,James Bond must investigate a mysterious murder case of a British agent in New Orleans. Soon he finds himself up against a gangster boss named Mr. Big.,3.928583,United Artists,United Kingdom,05-07-1973,161777836,121,English,Released,Roger Moore is James Bond.,Live and Let Die,6.4,496,3,1,2
254,207000000,Adventure|Drama|Action,2005,en,King Kong,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",5.374895,WingNut Films,New Zealand,14-12-2005,550000000,187,English,Released,The eighth wonder of the world.,King Kong,6.6,2139,4,3,1
255,350000,Comedy|Drama|Romance,1968,fr,Baisers volés,"Baisers voles is the second of two films from the ‘Antonie-Doinel-Zyklus’ by French director Truffaut. The film depicts the life of a young twenty year old man who’s life revolves around casual jobs and women, especially young violinist Christine Darbon (Claude Jade's screen-debut).",1.848402,Les Films du Carrosse,France,13-08-1968,0,96,Français,Released,,Stolen Kisses,7.4,53,2,1,1
